"text,label"
"baru liat pembukaan debat untuk sampaikan visi misi malah di buka buat menyudutkan paslon lain cara kotor yg pernah di gunakan untuk memenjarakan orang indonesia butuh pemimpin yg bisa membawa perubahan bukan cuap ngawur,0"
"sepertinya yg komen pendukung prabowo semua ya,1"
"saya pilih pak prabowo klw di pilem yg pandai bicara dia peng hianat yg jujur di singkirkan,0"
"rakyat tuh pintar jadi bisa menilai mana yg baik mana yg tidak disni saya liat pak prabowo dipojokan padahal sebagian pemimpin kedepannya tuh lebih baik dan tidak saling menjatuhkan memojokkan yg lain gimana negara ini bisa maju klo saja dpt pemimpin yg tidak bener pasti rakyat kecewa,1"
"pak anis tuh ngomong tidak sesuai dari hati pak anis memang pintar tapi licik coba deh saudara dengarkan baik baik saat dia bicara pasti kalian tau yg baik buat jadi pemimpin kita,1"
"hahahahaja eee masyarakat papua jangan pilih prabowo dia adalah pembunuh papua,0"
"kaulah ulahnya panglima pembunuh papua,0"
"prabowo menang inssaallh,1"
"jika prabowo jadi president maka indonesia akan lebih mundur,0"
"pak prabowo,0"
"kok percaya aniez beginilah tanpa dara,1"
"klo negara adil gk mungkin pak anis bisa berdiri di situ,1"
"belum ke tempat kami pak,0"
"saya berdoa smg bpk brabowo bisa jadi pemimpin indonesia maju trus bpk brabowo,0"
",0"
"kok aku lihat debat visi misi kok jelek kan lawan pak anis dan pak ganjar lucu anda hanya pak prabowo aja yang benar maju tanpa menjelekkan lawan,0"
"di pegang aja,0"
"pakkkk probowoooooo,0"
"siapapun presidennya nanti yg pnting jujur dn amanah,0"
"rakyat faham cara berpolitik yang sehat pak aniiiss,0"
",0"
"pak prabowo di hati,0"
"hanya allah yg tau,0"
"jangan bicara saja lakukan apa yang bangsa papua mauuu freedom west papua,0"
"betul bang setuju saya pak anis tuh memang pintar dlm bicara tapi licik tidak sesuai dari hati tanpa sadar pak anis lawannya sangat cerdas rakyat pasti kecewa dpt pemimpi yg tidak bener,1"
"pa anis sangat cocok untuk perubah bicaranya bukan untuk jadi penguasa,0"
"mukanya gk di pake tuh yg ituh,0"
"semangat pak prabowo saya yakin jadi pemimpin ri,0"
"harus diadakan debat bahasa ingri,0"
"bpk prabowo yes,0"
"pak prabowo smogha mnjdi pemimpin yg mulia,0"
"mantap pak prabowo,1"
"pernyataan visi misi pak anies saya menilai pantas untuk didukung untuk rakyat indonesia kita jangan memilih pemimpin yang hanya kepentingan pribadi atau ambisi kita harus betl liat calonnya makanya kpu buat debat karena kita mu nilai semua calon,1"
"pa prabowo,0"
"brapo pk prabowo tetap nmr,0"
"anis pintar ngmng aja,1"
"sekali lagi all in prabowo,0"
"kalau prisenya ganti gk pengertian paleng gk ada pkh lagi,0"
"plis gaes pa anis ituu,0"
"saya masi ingat jelas pak ganjar membatalkan pildun u,1"
"siapapun yg jadi pemimpin bangsa indonesia semoga jadi yg ter baik itu doa rakyat kecil amiiiiiinnnn,1"
"calon preside q bro bpk prabowo mantap,1"
"ayo pilih lokalan indonesia,0"
"semangat bapak ku prabowo selalu,0"
"moga bpk prabowo jadi persiden indonesia amin,0"
",0"
"tenang ajaya bapak prabowo walaupun bapak nantihasil terpilih ataupun tidak terpilih maumenang kalah sayatetap tetap mendukung orang yg untuk kata yg tinggi tidak beraarti kalah,1"
"disini bisa d lihat mn yg bija dan mn yg fitnah dan csri sensasi,0"
"pak ganjar ramah banget,0"
"kami masih ingat kasus ektp,0"
"semoga dilancarkan dan pemenang putaran semoga bpk prabowo dan gibran menjadi pemenang nya,1"
"yg dukung prabowo like disini,1"
"asline pak ganjar iki apik tapi gak seneng karo kui lho emak nyengit kui,0"
"sehat selalu pak prabowo,0"
"visi misi pak ganjar bagus sih,1"
"pak prabowo selalu di depan,0"
"ko kebnyaknn menanggapi no knp jd trs yg diserang knp ngga serang an mlh seperti ke ada kong kalikong,1"
"sy orang jawa tengah dukung pak prabowo dan mas gibran,1"
"r anies high school education quality he s is smart enough good to be president for blessings from god,0"
"bapak anis ini hebat banget scra teori tp biasanya org yg pinter ngmg aja itu prakteknya gak sejalan sm apa yg d omongin,1"
"kasus apa,0"
"kmi dri sumatra barat mendukung impian ku bapak prbowo,1"
"hidup bapak prabowo,0"
"klo adu argumen mungkin yg bukan prof pasti kalah klo adu ketulusan hati gk tau lah,0"
"semoga bapak no di restui yg maha kuasa amiin,0"
"bagiku siapapun pemimpin nya tdk berpengaruh pda khidupanku,0"
"t,0"
"saya pilih bapak prabowo bicaranya masuk akal semangatttt pak prabowo,0"
"anis doang tah yg ga salam hormat pas masukk wkwk,0"
"mantap bapak prabowo tp jgn kepancing itu bener apa yg bapak prabowo tp kancang lupa kulitnya ya pak,1"
"perjuangkan misi visinya pak prabowo gibran saya pendukungmu,1"
"all in prabowo,0"
"aku wong mu bos,0"
"anis kenapa si dr awal debat bisa y menjelekan prabowo trus,0"
"p,0"
"semoga niat baik masing allah kabulkan untuk bp negara kita dan kita rakyat tetap rakyat siapapun nanti yang menang kita terima dengan hati iklas dan mudah mudahan kita punya pemimpin negara yang terbaik amanah dan soleh juga,1"
"sumpah emosi sendiri,0"
"mantap pak anis semoga negara kita lebih maju jika pemimpin kita yang lebih peduli kebawah lagi kami setuju degan pisimisi pak anis,1"
"mukannya pak anies senyum senyum tpi ada maksud lain udh di kasih makan malah ngegigit,0"
"pak prabowo semoga menang dan menjadi pemimpin di tahun kami mendukungmu salam dari bulukumba,1"
"prabowo insyaallah r,0"
"prabowo tidak pandai bicara tapi saya yakin beliau berani berkorban buat rakyat pak ganjar mnurut saya juga bagus baik mementingkan rakyat juga tapi saya takut yg di belakangnya,1"
"no cuman pintar ngomong doang tapi gk bisa kerja hidup p prabowo merdeka,1"
"all in prabowo,0"
"undang kerja pak di perjuangkan bnyk pnganguran susah cari duit,0"
"siapa pun yg menang nanti harapan saya semoga lebih memperhatikan rakyat kecil yg msh banydk membutuh kn bantuan dr segi aoa pun walau pemimpin uya baik belom tentu pemerintahan d bawah nya sependapat karna kita sbgi rakyat kecil tdk bisa apa pun,1"
"untuk ganjar pisi misih nya,0"
"insya allah mudah an bisa terlaksana amin,0"
"tenang pak ganjar nyantai pendukungmu berjjer d blkang maju terus dmi rakyat indonesia,1"
",0"
"bravo ganjar mahfud,0"
"pak prabowo pasti menang,1"
"yang pertama saya lihat kepemimpinan dan kinerja sebelum nya itu lah no tentang debat ni itu pelangkap bisa saja lupa dengan janji nya suatu saat nanti,0"
"anies gk pantes blas,0"
"korupsi harus di hukum mati,0"
"no kelihatan banget ingin menjatuh kan no terlihat sombong,0"
"prabowo subianto selalu ada di hati,0"
"omongan besar tapi gak ada otak,0"
"apa janji politik buat saya mana janji nengara dalam permainanan ini apa politik kira saya tidak tau tentang apa dlm permainan ini torang sarwdy simaibang,0"
"prabowo maju,0"
"saya pilih pak prabowo semaagat pak prabowo,0"
"semua kata nya bagus semoga indonesia maju siapapun presidentnya amin,1"
"semoga peabowo menang,1"
"widihhh sipaling hooh,0"
"ganjar,0"
"benar itu bapa calon perden smoga jadi,0"
"papua dukung prabowo,1"
",0"
"anis kbayak bicara tongkosong ga ada bukti,0"
"pak prabowo mas gibran menang yesssss pasti menang indonesia maju,1"
"selalu mencari kesalahan tanpa bercermin haha maluuu pak aniss pak ganjar,0"
"apa cuma saya yg merasa kalau anis sama ganjar ada jiwa pemimpin nya penyampaian nya seprti seuai judul no lebih cenderung emosinal sperti debat kaki menit mengenaskan,0"
",0"
"al in prabowoo,0"
"pak ganjar itu sdh menyakiti hati seluruh rakyat indonesia beliau pute ulu dalang gagalnya piala dunia u diindonesia,0"
"yang berkompensi ke capres anis dan ganjar,0"
"anis ini pembual jago ngomong doang,0"
"sehat terus pak prowo,0"
"walpun aku tidak bisa ikut pemilihan ttp prabowo semonga mnng dan seht sellu prabowo orang yang sabr,0"
"prabowo gibran yesss,0"
"ganjar manis di bibir endingnya bohong sama kayak anis bohooonh hoooonh,0"
"pak anies baswedan yg sangat berwibawa,0"
"gajih buruh yang pasti mah perhatikan,0"
"bettul s x pak anies baswedan,0"
"subhanalloh pa anis semoga bp jadi pemimpin negara yg jujur amanah sayang sama masarakat kecil amiiin,0"
"lawan kalah telak kalian cukup diam namun cukup bermakna untuk kita menyimpulkan mana yg baik untuk pemimpin negri kita prabowo gibran,1"
"pk ganjar jangi palsu,0"
"perabowo,0"
"pak prabowo mantap,1"
"halo pak wowo,0"
"pak prabowo gak ada aleman seperti anis pak prabowo mantap dan tegas karena didikan nkri,1"
"pak prabowo tetap harus maju trus pak rakyat indonesia mendukung mu,1"
"omongan anis seperti parfum isi ulang wangi nya cuma se saat jd pikir sendiri rakyat indonesia gk bodoh ckp orang orang di dki aja yg lo bodoh bodoh in oke,0"
"all in prabowo,0"
"perbanyaki utang negara,0"
"anis bicara tentang hukum dia aja pernah korupsi dana pendidikan,0"
"eleh udah lh pak prabowo omong kosong nya,0"
"saya pegang janji janji ada siapa pun yang trplih nanti,0"
"amin bapak ganjar,0"
"amin bapak ganjar,0"
"amin bapak ganhar,0"
"memang betul selain itu pandai ber ikluasi belaka betul memang tukang fitnah,0"
"debat kok sling menjatuhkan,0"
"wah tiada berhasil pk parobowo,1"
"pak prabowo,0"
"menjatuhkan lawan menjelaskn visi mis ceramag,1"
"gagasan pak anes bagus,1"
"kita hrs bangun kedamaian dan perdamaian persatuan,0"
"gibran sopan bgt,0"
"yang terpili nanti pasti yg terbaik disisi allah insya allah kita tidak bisa berpikir yg tidak positip jagalah kedamaian dan persatuan aamiin,1"
"anis dan ganjar tdak pantas jdi pemimpin ngra ini,1"
"yang tulus dan cinta sama rakyat indonesia kata gusdur itu pak prabowo kata nya gk pernah meleset,0"
"gagasan anes memang mantap,1"
"semoga pk anisa sehat selalu,0"
"pak prabowo lah yang plng pntas memimpen rakyat indonesia gk cmk pintar ngomong dan ngedabus kyk anis,1"
"anis jagonya merangkai kata,0"
"klomok apa klempok pak,0"
"prabowo okokokok,0"
"rakyat tahu siapa yang punya mobil sendiri ngak rentalan,0"
",0"
",0"
"mantap bapak prabowo gibran harga mati,1"
"maju trus pak prabowo gibran,0"
"all in prabowo sekeluarga anisbaswedan begitu awam nya mengenai pertahanan negara pak ganjar belum waktunya pak,0"
"hidup no urut,0"
"siapapun presidennya kalau kamu malas kamu tetap miskin,0"
"insya allah indonesi akan menjadi contoh di mata dunia apabila kita bisa menampilkan tiga poin kedamaian dan perdamaian kesatuan atas idzin allah sang pencipta aamiin yaaa rob,0"
"tetapi apabila kita abaikan tiga poin tersebut bisa jadi allah murkah panasnya laut merah menjangkau indonesia maka dengan itu harus berpikir lebi waras jangan sampai menjadi kenyataan semoga kita semua bisa mengoreksi diri harus lebih mendekat kpd sang pencipta insya allah indonesia akan dilindungi ole allah aamiin yaaa rob,1"
"cukup sekian dulu kami bisa komentar muda mudahan ada petunjuk dari allah yang lebi baik kedepan insya allah indonesia dilindungi dari segala ancama lnsya allah aamiin,1"
"lu tau dari mana,0"
"hidup no,0"
"allah huakbar semoga pak perabowo jadi peresedin,0"
"anis emang pintar ngomongnya tp malah buat ga percaya krn keliahatan hanya pintar ngomong klu pak prabowo emang ga pintar ngomong tp lebih tulus klu pak ganjar tulus juga,1"
"pak perabowo yg saya cintai yg saya sayangi seluruh keluarga yayasan dilwah mendukung bapak perabowo,1"
"tida setju,0"
",0"
"indonesia tanah airku,0"
"gw yakin yang menang no,1"
"pak prabowo subianto gibran,0"
"bowo lain di tanya lain di jawab,0"
"pak perabowo tetap taun,0"
"tetap dukung puan,1"
"kalo bohong gua kepret lu,0"
"saya cuma mau menyampaikan di rumah sakit para petugasnya hanya mengutamakan yg beruang klk orang miskin di oper sana sini ada aja syaratnya yg kurang lengkap pasien kesakitan gak di pedulikan,0"
"jgn bnyak janji pak ganjar,0"
"pa prabowo subianto juara aminnnn ya robal al amin,0"
"btol bg,0"
"betul sekali menurut saya juga begitu,0"
",0"
"tdk ada memang kesetaraan sekang bayangkan org yg sdh lama honor tetap sj rp perbuln tak perna disetarakan manusia yg lain,0"
"bapak ganjar nomor urut,0"
"pa prabowo,0"
"hidup no,0"
"bukak mata jngan terllu lama lrut dlam mimpi hayalan mu lihat lah gagasan nya bukan gerak tubuh nya agar di saat bngun tidak pelangak plngok,0"
"ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo oooooooooooooooooooooooooooooooooo,0"
"orang bodoh,0"
",0"
"no,0"
",0"
"pa anislah,0"
"biasa kalo belun jadi janji janji kalo udah jadi lupa sama rakyat kecil lupa,0"
"ko pp umi by aniksasa,0"
"pak prabowo,0"
"kalah menang tetap pili pak prabowo bismillah pak prabowo menang amin yallah doa baik untuk mu pak untuk indonesia maju bismillah prabowo gibran,1"
"cocot mu nis orang orang jadi gubenor pun sampe di gugat warga baru kerja kamu nis,0"
"sudah pasti pk prabowo sudah diramalkan maju terus pk prabowo,0"
"lihat benar benar wajah anies lihat amati dan resapi soalnya terus terang enek saya lihatnya mudah an lah jangaan dia cukup jakarta aj yg semrawut jangan negara ini prestasinya di luar nalar air dimasukkan bumi rumah dp rupiah buat monumen bambu cuma berapa bulan aj kali item di naturalisasi dg dikasih jaring hitam aduh ya allah,0"
"ingat saudaraku anis hanya pinter bicara hanya pintar bicara ingat kata kata itu dia menghipnotis kita semua dengan gaya bicara nyaaa prabowo selalu di hati,1"
",0"
"pak prabowo selalu di hati,0"
"pak prawobo aku padamu dengan ketulusan dan ke sopanan anda,0"
"lebih baik pilihan dirahasiakan sebab,1"
",0"
"negara lain tidak brani mnjajah indonesia slama masih ada pak prabowo pak prabowo sdah terbukti pak prabowo aku pendukung mu tahun ini krn dr dlu aku tdk peduli siapapun presidenku kali ini pak prabowo pimpinlah indonesiaku,1"
"hidup pk prabowo yg rendah hati,0"
"anis yes,0"
"pak prabowo tidak pernah mengusik lawan padahal dia selalu ingin di jatuhkan,0"
"pk prabowo,0"
"akhlak adap na gibran luar biasa simple gak bertele tele,1"
"pak anis dan pak ganjar memang cerdas tapi yg menang pak prabowo salam pak prabowo,1"
"mimpin jakarta ajah gk ada perusahaan,0"
",0"
"pa prabowo public speaking nya kok seperti itu ya,0"
"nisss aniss kocak,0"
"love sekebon untuk pak prabowo,0"
"pak prabowo pokoe koe neng atiku,0"
"maaf pak ganjar kmi orang ntt berrsama pa prabowao,0"
"kmi bersama prabowo,0"
"aku juga pilih prabowo,0"
"pak prabowo di sindir capres tetapi dia tidak balas menjelekkan mereka dan fokus dengan tujuan debat dan bukan sindir menyindir karena ke capres sadar pak prabowolah ancaman terbesar mereka go pak prabowo fokus pada misi dan bukan ghibah,0"
"baru mulai aja sudah berusaha menjatuhkan dan merendahkan lawan,0"
"jika sistem negara hukum pun masih banyak celahnya kenapa harus dipertahankan sekalian aja rombak sistem yg cacat kami tak butuh janji manismu kami butuh ketegasan untuk sekarang,1"
"buang yang tak perlu,0"
"memang pande x si anis ini ngomong yahh tapi hanya ngomong ajj punn,0"
"hidup prabowo,0"
"pokonya mah saya emparaabowo aja,0"
"misi paling bagus pak prabowo,1"
"bapak prabowo,0"
"nuur,0"
"pertanyaan anak dibawa sory ye sory yeeee,0"
"anis takut kalah diskusi koq bawa masalah pendaftaran mantap jawaban pak prabowo ngk punya jabatan kaga maslah sori ye sori ye,1"
"angin tak punya ktp,0"
"ada lucu nya pak prabowo tidak terlalu tegang dan santai,0"
"bpk prabowo selalu dihati,0"
"dari dulu kok milih prabowo yak pdhl gubernur ku juga nyalon tp gak sreg aja,0"
"saya pilih pa prabowo,0"
"mantap pakbiwo,1"
"anis ngurus dki aja ngga beres mau ngurus indonesia,0"
"kemaren prabowo bagi duwit an saya termasuk orang yg diundang dan dapat bagian tapi saya tidak tergiur dgn uang yg hanya caranya saja sudah tidak benar apalagi nanti kalau dah jadi pemimpin bisa jual aset negaranya karena untuk mengembalikan modalnya,0"
"sambutan capres yg paling tegas adalah sambutan pak anis bawedan untuk merubah hukum yg amburadul tumpul keatas dan tajam kebawah,1"
"aku malah fokus gus miftah,0"
"magetan jaw lo njar ganjar tapi juga langka gimana,0"
"merinding dengar visi misi pak prabowo,0"
"tetep milih prabowo gibran,0"
"anis pasti keoook,0"
"pak prabowo keren sama sekali tidak menjatuhkan lawan,1"
"pungli se indonesia musnah kan,0"
",0"
"jgn lupa coblos no ya,0"
"kalo ga mau di jatuhin jangan debat bre podcast aja kwkwkw,0"
"kree boo pengertian debat menurut kamus besar bahasa indonesia kbbi pengertian debat adalah pertukaran dan pembahasan pendapat terkait suatu hal dengan saling menyampaikan argumentasi atau alasan dengan tujuan mempertahankan pendapat jadi bukan untuk saling menjatuhkan secara personal ya semoga paham ya,0"
"astaghfirullah kree boo,0"
"sudah dapat uangnya ya,0"
"pertama korupsi hrs di brantas,0"
"butuh perubahan bismillah amin,0"
"kl debat menyerang itu yng tidak beretika dah gitu aja yng tulus hanya p prabowo,0"
"seandainya gibran kalah aku bamgga sekali,0"
"sakfok gus miftah all in prabowo,0"
",0"
"pak ganjar sangat santai dalam menanggapi debat singkat dan jelas dapat di fahami dan di mengerti berbicara hanya pada inti nya tidak bertele,1"
"bpk prabowo dan bpk gibran,0"
"mantap pak ganjar,1"
"jangan mimpi kl ganjar sams anis bakal menang pilpes,1"
"siudah lah cocok ganjar yg pantas,1"
"dulu saya pilih pak prabowo tp saya suka pak anis tp skrng melihat ini pak anis kok menjatuhkan lawannya bukan memberi bagaimana indonesia maju di dunia orang biasa itu hal yg kekanakan pak prabowo ttp,0"
"semangat pak prabowo,0"
"jng terpancing mulut culas ganjar anis pak prabowo mrk mlakukan itu krena mereka merasa kalah mereka berusaha mnjatuhkn bpk prabowo dng fitnah mereka,0"
"tenag pak no pasti menag pak,0"
"tenang pak prabowo ntuk mnghdapi serangan mereka gk usah khwtir n takut ganjar hanya seorang yg mendadak muslim anies agaknya gk jelas rakyat cerdas hrs th itu,1"
"mantep jlep milih pk prabowo,0"
"amin untuk indonesia adil dan maju,1"
"baru awal mulai aja anies udh nyerang no secara pribadi kya gk ada yg dipikirin aja dinegara ini hanya bisa menjatuhkan musuh gak etis pemimpin bukan yg pndai menjatuhkan tpi yg pandai menyelesaikan maslah tanpa menjatuhkan siapa pun,0"
"pak prabowo,0"
"pa prabowo selalu di hati semoga pa kmu menang,1"
"kata kata berbisa mulut mulut berbusa janji janji bertebaran seperti biasa dari atas panggung atas nama bangsa yang mendengar terpesona bahkan ada yang terkesima aku pun tergoda untuk mengikuti apa yang terjadi apakah memang janji hanya janji buktikan buktikan itu yang di nanti nanti buktikan buktikan kalau hanya omong burung beo pun bisa kita hidup sering terancam tak ada jaminan keselamatan kamu ngomong tentang keamanan tapi makin banyak penggusuran iwanfals,0"
"setelah kemari saya semakin yakin dengan pak prabowo saya tidak suka dengan calon pemimpin yg pandai merangkai kata kata,0"
"visi misi bkn saling serang,0"
"salfok sama si mb yg bhasa isyarat lucu ekspresinya,0"
"ya allah mudah an prabowo unggul,1"
"all in pak prabowo,0"
"nmr dia kira mk dibawah prabowo kah nmr mereka dua serang prabowo kira prabowo lebih hikmat dari dua orang itu,0"
"memangnya cuma maroek aja masih ada propinsi yg hidup masih melarat sama aja gimana mau dapat internet gratis sudah di jual oleh partaimu gimana sama aja omong kosong belaka,0"
"kalo pertahanan negara terbuka ya akn ada banyak tuh kapal asing yg masuk perairan indonesia karna dah tau kadar pertahanan negara kita,0"
"pak prabowo,0"
"yg pandai rangkai kata biasanya banyak janji manis dan pinter ngeles udahlah pilih yg tulus jujur,0"
"kita butuh orang yang jujur tidak takut dan cerdas seperti pak anies temen temen kerja saya banyak yg dukung prabowo sesudah debat banyak yg pindah ke anies dan ganjar,1"
"koruptor hukum mati,0"
"anis lo cuman omong doang jngn sampai anis jd biar nnt gak hancur nagara indonesia anis cman ngomong doang kata ny sprt viky prasitio,0"
"prabowo kalah dan menang nya tetap lah dia seorang pejuang dan mantan pemimpin pasukan khusus gk perlu lha kau fitnah atau menyerang lewat cara yg tidak ada adab dan etika,1"
"ketawa gue pas capres nomor ngomongin visi misi,0"
"hidup no,0"
"itu anis kalau bicara tinggi angan angan bicara banyak tapi tidak berfikir,0"
"anis pintar bicara tapi tak tau berbuat,1"
"pada saat ini palastine sedang huru hara apakah kita harus berbuat begini,0"
"banyak pelanggaran ham yg harus di usut tuntas pak anis,0"
"mantap perubahan untuk pak anis the best cerdas cerdek semuga amanah buat rakyat,1"
"prabowo bilang dia gak nyari jabatan lah skrg dia nyapres ini gimana,0"
"milik kami di hati anis baswedan bukan pabowo atau ganjar papua,0"
"hebat pak ganjar salam dari papua,1"
"mna amn ekonomii harga barang jls terus naik,0"
"tapi saya pilih pak parabowo saja,0"
"meskipun pa owo g sebagus mera ngkai kata sperti calon yg lainny tpi visi misiny luar bisa,1"
"untuk masyarakat indonesya jangan ragu untuk melakukan perubahan pilihlah amin aminn amin amin,0"
"tetep no selalu dihati,0"
"prabowo aamiin,0"
"kita dukung no urut,1"
"kenapa yah tiap ada debat capres ada aja yg bilang sehat ya wo emang dy udah lama sakit apa seh,0"
"sy tetep milih pak prabowo dan gibran pasti menang sy yakin,1"
"yang yang apa prabowo bingun menanggapi pertanyaan dari pak ganjar,1"
"prabowo,0"
"salam pak prabowo kami akan selalu mendukung pak prabowo,1"
"salam pak prabowo kami akan selalu mendukung pak prabowo,1"
"ganjar beneran survey loh yang lain perkataan doang apapgi anies,0"
"saya sebagai putra indonesia asli orang lombok selalu mendukungmu pak perbowo kare berdebat bapak yg pake akal sehat,1"
"anis banyak omong cuma ujung mau nipu emg rakyat indonesia ini semudah itu kau bohongi aneeeesss,0"
"vesi dan mesi yang masuk akal probowo,0"
"semangat pak prabowo insyaallah aku dukung kamu dan mendoakan selalu,1"
"aku padamu bapa prabowo allah bersama hambanya yang baik dan sabar,1"
"sampe kapan pun perabowo pilihan ku,0"
"pak prabowo,0"
"gimana mau jadi pemingpin ngomongnya ajah ngga pas no urut,0"
"gua yakin sih pak prabowo lebih bijak untuk memimpin,0"
"dua paslon pinter ngomong,0"
"yg penting adil dan bisa di percaya,1"
"aku ganjar,0"
"bener pak jateng susah gara kartu tani pupuk di batas teruntuk daerah blora jateng pupuk di jual mahal gk masuk akal,0"
"bener pak jateng susah gara kartu tani pupuk di batas teruntuk daerah blora jateng pupuk di jual mahal gk masuk akal,0"
"bener pak jateng susah gara kartu tani pupuk di batas teruntuk daerah blora jateng pupuk di jual mahal gk masuk akal,0"
"bener pak jateng susah gara kartu tani pupuk di batas teruntuk daerah blora jateng pupuk di jual mahal gk masuk akal,0"
"bener pak jateng susah gara kartu tani pupuk di batas teruntuk daerah blora jateng pupuk di jual mahal gk masuk akal,0"
"bener pak jateng susah gara kartu tani pupuk di batas teruntuk daerah blora jateng pupuk di jual mahal gk masuk akal,0"
"no yess negara ini negara hukum bkn negara penguasa,0"
